ID,Qualifications,Employment_Type,Age,Pincode,Gender,Product_Code,Loan_Amount,LTV,Resident_Type,Net_salary,Final_Tier,Make_Code,Model_Description,Model_Variant,PAST_LOANS_ACTIVE,Decision
64810,HSC,SAL,33,470117,Male,MC,100334,84.89,O,35000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64811,OTHERS,SEP,26,477557,Male,MC,45656,59.14,O,32000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
64812,OTHERS,SEP,40,577129,Male,SC,38807,35.02,O,40000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
64813,HSC,NREGI,31,612401,Female,SC,85202,92.92,O,20000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
64814,OTHERS,AGR,47,614613,Female,SC,86843,91.96,O,48000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
64815,OTHERS,SAL,29,581110,Female,SC,91282,86.94,O,40000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,APPROVED
64816,HSC,SEP,30,855116,Male,MC,113249,63.18,O,25000,07 Rural,RONIN,TVS RONIN 1CH BASE BSVI,RONIN,PAST_LOANS_ACTIVE,APPROVED
64817,UG,SAL,41,212601,Male,MC,63892,80.88,O,35000,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
64818,OTHERS,AGR,29,583212,Male,MO,54351,77.64,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64819,SSC,SEP,24,590016,Male,EB,129523,84.99,O,35000,07 Rural,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,DECLINED
64820,OTHERS,SAL,34,613701,Male,SC,75337,82.38,O,30000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
64821,GRAD,SEP,62,613007,Male,SC,87198,76.16,O,55000,07 Rural,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,PAST_LOANS_ACTIVE,APPROVED
64822,OTHERS,SAL,33,854317,Male,MC,61642,82.42,O,36000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
64823,OTHERS,AGR,39,241501,Male,MC,131300,89,O,36000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
64824,GRAD,SAL,33,625006,Male,SC,80453,81.57,O,25000,06 Semi-Urban,ZEST,SCOOTY ZEST - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
64825,SSC,NREGI,34,613006,Female,SC,79490,91.05,O,25000,06 Semi-Urban,ZEST,SCOOTY ZEST - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
64826,OTHERS,AGR,43,855113,Male,MC,101569,84.59,O,25000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,DECLINED
64827,HSC,SEP,33,470113,Male,MC,72236,79.15,O,29000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
64828,HSC,AGR,28,612303,Male,SC,100163,93.51,O,20000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
64829,OTHERS,AGR,26,614717,Female,SC,99878,84.93,O,35000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
64830,HSC,NREGI,31,212658,Male,MC,102728,69.68,O,35000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
64831,UG,SAL,37,614019,Female,SC,89787,88.78,O,25000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
64832,PG,SAL,24,614206,Male,MC,141565,90.83,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
64833,OTHERS,SEP,29,813104,Male,MC,127611,84,O,32000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
64834,GRAD,SAL,21,209402,Male,MC,135339,89.16,O,35000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,DECLINED
64835,OTHERS,AGR,36,614014,Female,SC,78918,86.64,O,30000,06 Semi-Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
64836,GRAD,AGR,28,614902,Female,MO,73861,90.33,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64837,OTHERS,AGR,31,614905,Female,SC,68020,72.36,O,45000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
64838,UG,AGR,29,212601,Male,MC,53719,64.1,O,39560,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
64839,SSC,SEP,45,531001,Male,SC,79000,61.27,O,30000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
64840,HSC,SEP,21,209206,Male,MC,91662,79.98,O,20000,05 Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
64841,HSC,SAL,28,678505,Female,SC,92300,85.03,O,25000,06 Semi-Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
64842,SSC,NREGI,61,673645,Male,SC,100070,89.99,O,23000,05 Urban,JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,APPROVED
64843,SSC,SAL,33,673317,Female,SC,60139,55.4,O,25000,06 Semi-Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
64844,HSC,SEP,43,680613,Male,MO,69506,81.66,O,50000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
64845,SSC,AGR,47,209821,Male,MO,29400,55.99,O,15000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64846,HSC,NREGI,35,571218,Male,SC,94441,75.49,O,45000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
64847,HSC,SEP,24,752014,Male,MO,63128,84.17,O,38000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,DECLINED
64848,GRAD,NREGI,23,752011,Male,MO,40500,54,O,26000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64849,HSC,AGR,39,613403,Male,MC,87769,85.21,O,40000,07 Rural,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,PAST_LOANS_ACTIVE,APPROVED
64850,HSC,AGR,46,573220,Male,MC,105741,84.02,O,32000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64851,OTHERS,NREGI,35,571433,Male,MC,71197,73.69,O,25000,06 Semi-Urban,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
64852,HSC,NREGI,22,845420,Male,MC,88723,89.75,O,30000,07 Rural,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,NO_PAST_LOANS,DECLINED
64853,UG,SEP,21,843316,Male,MC,128015,86.5,O,42000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,PAST_LOANS_ACTIVE,APPROVED
64854,OTHERS,NREGI,36,845451,Male,MC,117172,75.37,O,32000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
64855,OTHERS,SAL,24,628005,Female,SC,47328,41.88,O,28000,06 Semi-Urban,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
64856,HSC,SEP,24,486447,Male,MC,82168,67.59,O,35500,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
64857,HSC,SEP,48,785684,Male,SC,93521,79.36,O,45000,07 Rural,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,NO_PAST_LOANS,APPROVED
64858,SSC,NREGI,47,476337,Male,MC,44238,47.06,O,35000,07 Rural,CITY PLUS,STARCITY PLUS ES DT BSVI â€“ DUAL TONE,STAR CITY PLUS,PAST_LOANS_ACTIVE,APPROVED
64859,OTHERS,AGR,30,635118,Male,MC,82755,84.44,O,35000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,PAST_LOANS_ACTIVE,APPROVED
64860,GRAD,SAL,40,244713,Male,MC,100300,86.25,O,32000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
64861,UG,SAL,32,760003,Male,SC,77500,81.69,O,30000,05 Urban,JUPITER,JUPITER BSVI - SMW,110 CC,PAST_LOANS_ACTIVE,APPROVED
64862,OTHERS,AGR,40,607802,Male,MO,58283,77.03,O,40000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64863,HSC,AGR,28,845459,Male,MC,99807,85.67,O,28000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
64864,OTHERS,SEP,24,846009,Female,MC,116639,76.78,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
64865,HSC,SEP,25,768108,Male,MC,95791,63.47,O,45000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
64866,HSC,AGR,23,855108,Female,MC,67384,43.3,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
64867,HSC,SEP,23,768106,Male,MC,134361,87.82,O,45000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
64868,HSC,SAL,35,486886,Male,MC,128462,84.17,O,35000,05 Urban,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,DECLINED
64869,OTHERS,SEP,35,231216,Female,MC,99976,86.56,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64870,GRAD,SEP,41,212306,Female,MC,46124,61.68,O,40000,06 Semi-Urban,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
64871,SSC,SEP,35,221508,Male,MC,92731,80.64,O,32000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64872,HSC,SAL,43,486886,Male,MC,62232,65.51,O,35000,05 Urban,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
64873,GRAD,SAL,43,440017,Male,EB,119500,73.15,R,35000,04 Metro,TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
64874,GRAD,NREGI,23,828109,Male,MC,78145,64.05,O,36000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
64875,OTHERS,SEP,33,734201,Female,SC,106152,83.76,O,30000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
64876,GRAD,SAL,39,636007,Female,SC,59732,62.48,O,45000,05 Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
64877,HSC,AGR,21,635751,Male,MC,76133,85.54,O,25000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
64878,OTHERS,SAL,37,635001,Female,SC,117871,87.96,O,20000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
64879,OTHERS,AGR,61,637406,Male,MO,66101,82.63,O,28000,06 Semi-Urban,MOPEDS,TVS XL 100 COM ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64880,HSC,SAL,22,635109,Male,MO,70627,87.19,R,16000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
64881,OTHERS,AGR,53,635001,Female,SC,101850,76.58,O,25000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
64882,SSC,SAL,53,635117,Male,MC,95775,87.87,O,20000,07 Rural,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,NO_PAST_LOANS,APPROVED
64883,OTHERS,AGR,50,636455,Female,MO,44619,72.55,O,45000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64884,OTHERS,NREGI,26,635001,Female,SC,82679,65.62,O,25000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
64885,OTHERS,SAL,26,635001,Female,MO,57022,72.18,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64886,UG,SEP,48,636112,Female,EB,136147,83.27,O,30000,07 Rural,TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
64887,HSC,NREGI,52,636903,Male,MO,55160,69.82,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64888,UG,SAL,20,635115,Male,MC,146858,84.89,O,25000,06 Semi-Urban,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
64889,OTHERS,NREGI,37,576230,Female,SC,105140,86.23,O,25000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
64890,SSC,SAL,26,563130,Male,SC,82178,65.9,O,25000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
64891,HSC,AGR,47,563130,Male,MC,79603,74.92,O,40000,06 Semi-Urban,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,PAST_LOANS_ACTIVE,APPROVED
64892,GRAD,SAL,23,560040,Male,EB,125928,85.96,O,35000,02 Megapolis (B),TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
64893,SSC,AGR,38,574202,Male,MO,61361,89.88,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64894,SSC,SEP,43,571401,Female,SC,109315,87.38,O,48000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
64895,GRAD,SEP,33,562110,Male,SC,79181,77.43,O,30000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
64896,GRAD,SAL,23,814158,Male,MC,72185,46.67,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
64897,OTHERS,SAL,29,560068,Male,MC,166871,84.75,O,99000,02 Megapolis (B),RONIN,TVS RONIN 1CH BASE BSVI,RONIN,PAST_LOANS_ACTIVE,APPROVED
64898,SSC,AGR,57,573134,Male,MO,41795,61.22,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64899,HSC,SEP,27,563126,Female,EB,108277,67.44,O,35000,06 Semi-Urban,TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
64900,UG,SEP,36,571401,Female,SC,98591,82.44,O,27000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
64901,HSC,AGR,58,571315,Male,MC,66300,68.62,O,35000,06 Semi-Urban,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,PAST_LOANS_ACTIVE,APPROVED
64902,GRAD,NREGI,28,571423,Female,MO,45010,65.76,O,40000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64903,SSC,AGR,35,562126,Male,SC,92500,84.4,O,30000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
64904,HSC,SEP,40,571104,Male,SC,90246,71.09,O,45000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
64905,HSC,SAL,35,573217,Female,SC,99286,78.33,O,35000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
64906,OTHERS,NREGI,46,571441,Male,MO,58175,84.99,O,40000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64907,GRAD,AGR,41,571201,Male,SC,103500,84.35,O,35000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
64908,UG,SAL,30,452012,Male,SC,99608,83.93,O,35000,03 Large Metro,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
64909,SSC,AGR,29,457893,Male,MC,129950,83.11,O,38000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
64910,HSC,SAL,33,282006,Male,MO,62402,85.83,O,19500,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64911,OTHERS,AGR,41,761017,Male,MC,74000,77.49,O,25000,07 Rural,RADEON,TVS RADEON BSVI DIGI DRUM DUAL TONE,RADEON,PAST_LOANS_ACTIVE,APPROVED
64912,GRAD,SEP,25,761215,Male,MC,105302,83.31,O,35000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64913,OTHERS,SEP,50,762001,Male,MO,63101,86.44,O,27000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64914,OTHERS,SEP,25,751013,Male,MO,58657,78.66,O,52000,05 Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64915,GRAD,SEP,36,733129,Male,MC,125477,71.64,O,35000,07 Rural,APACHE,TVS APACHE RTR 160 4V BSVI - U626,160 DISC,PAST_LOANS_ACTIVE,APPROVED
64916,GRAD,SEP,28,731201,Male,MC,134700,79.75,O,45000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
64917,OTHERS,NREGI,30,732207,Male,MC,171936,79.97,O,35000,07 Rural,RONIN,TVS RONIN 2CH MID NG REFRESH BSVI,RONIN,PAST_LOANS_ACTIVE,APPROVED
64918,UG,NREGI,31,761105,Male,SC,84300,81.06,O,40000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
64919,HSC,NREGI,26,752077,Male,MC,101100,84.96,O,23000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64920,GRAD,SEP,31,756120,Female,MO,59133,93.86,O,36000,07 Rural,MOPEDS,TVS XL 100 COM KS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64921,HSC,SEP,59,758019,Male,MO,56800,93.88,O,22000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64922,HSC,NREGI,46,761143,Male,MO,74500,93.71,O,24000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
64923,SSC,SEP,50,560078,Female,SC,108226,88.28,O,45000,02 Megapolis (B),NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,DECLINED
64924,GRAD,SAL,38,560094,Male,MO,58000,72.9,R,22000,02 Megapolis (B),MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
64925,SSC,SAL,34,562114,Male,MC,81695,65.37,O,30000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64926,OTHERS,NREGI,30,562102,Male,MC,152976,86.09,O,40000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
64927,HSC,SAL,40,605111,Male,MC,77757,81.52,O,25000,05 Urban,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
64928,GRAD,NREGI,24,560064,Male,SC,99703,84.49,R,40000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
64929,PG,SEP,21,281121,Male,SC,77137,65.09,O,35000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
64930,GRAD,SAL,28,560091,Male,EB,124473,84.96,O,26000,02 Megapolis (B),TVS,TVS IQUBE UG,EBIKE,NO_PAST_LOANS,APPROVED
64931,OTHERS,SAL,29,562111,Male,MC,81077,64.86,R,25000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64932,SSC,SEP,34,341319,Male,MC,100242,85.68,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64933,GRAD,SAL,22,600011,Male,SC,113205,88.58,O,35800,02 Megapolis (B),NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
64934,OTHERS,SEP,49,602024,Female,SC,90246,65.63,O,20000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
64935,UG,SEP,53,600014,Female,SC,95986,90.9,R,25000,02 Megapolis (B),JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,DECLINED
64936,GRAD,SEP,46,600064,Female,SC,101779,89.58,O,98000,06 Semi-Urban,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,PAST_LOANS_ACTIVE,APPROVED
64937,OTHERS,SEP,35,600106,Male,MO,70171,85.25,R,45000,02 Megapolis (B),MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64938,GRAD,SEP,38,412207,Male,SC,97445,84.47,O,100000,03 Large Metro,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
64939,GRAD,SEP,31,600064,Male,SC,76168,78.44,R,30000,06 Semi-Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
64940,GRAD,SAL,30,600097,Female,MC,118151,80.32,R,19000,04 Metro,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64941,GRAD,SAL,40,411003,Male,SC,85780,73.64,R,50000,03 Large Metro,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
64942,GRAD,AGR,59,815351,Male,MO,42918,58.04,O,28000,07 Rural,MOPEDS,TVS XL 100 COM ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
64943,HSC,AGR,21,825311,Male,MC,112500,77.1,O,28500,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
64944,UG,SEP,23,822123,Male,MO,60034,83.9,O,32000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
64945,UG,AGR,40,825401,Male,MC,59291,76.21,O,28500,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
64946,SSC,NREGI,27,829202,Female,MO,55729,74.15,O,26000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
64947,OTHERS,NREGI,29,822118,Male,MC,79500,70.38,O,30000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64948,HSC,STU,20,822112,Female,MC,96734,85.64,O,0,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,NO_PAST_LOANS,APPROVED
64949,OTHERS,SEP,28,700159,Female,SC,90876,87.16,O,21000,06 Semi-Urban,JUPITER,JUPITER ZX BSVI â€“ ZX DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
64950,OTHERS,SAL,26,743503,Male,MC,63137,76.34,O,22000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
64951,HSC,AGR,21,712305,Male,MC,121799,75.18,O,28000,07 Rural,APACHE,APACHE RTR 160 4V DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
64952,HSC,SEP,31,741102,Male,MC,94780,78.98,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64953,OTHERS,SAL,37,700065,Male,MC,59236,48.16,O,30000,05 Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
64954,OTHERS,AGR,31,743291,Male,MC,127274,80.5,O,29000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
64955,HSC,SEP,42,712416,Male,MC,92697,77.9,O,45000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,NO_PAST_LOANS,DECLINED
64956,OTHERS,SAL,36,605105,Male,SC,74588,83.06,O,35000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
